DATE,TMIN_F,TMAX_F,PRCP_IN,FGDD
2009-01-01,15.079999999999998,50,0,0
2009-01-02,17.06,48.019999999999996,0,0
2009-01-03,21.02,48.92,0.019685050000000003,0
2009-01-04,19.04,35.06,0.09842525,0
2009-01-05,19.939999999999998,33.98,0.019685050000000003,0
2009-01-06,-2.9200000000000017,32,0.09055123000000001,0
2009-01-07,5,37.04,0,0
2009-01-08,12.920000000000002,48.019999999999996,0,0
2009-01-09,17.06,48.019999999999996,0,0
2009-01-10,10.940000000000001,37.04,0,0
2009-01-11,8.959999999999997,39.019999999999996,0,0
2009-01-12,12.920000000000002,42.08,0,0
2009-01-13,12.920000000000002,42.08,0,0
2009-01-14,14,42.08,0,0
2009-01-15,17.06,48.92,0,0
2009-01-16,15.079999999999998,44.06,0,0
2009-01-17,14,48.019999999999996,0,0
2009-01-18,15.079999999999998,48.019999999999996,0,0
2009-01-19,15.079999999999998,44.96,0,0
2009-01-20,17.96,51.08,0,0.5400000000000013
2009-01-21,19.939999999999998,55.040000000000006,0,2.520000000000001
2009-01-22,21.92,55.040000000000006,0,2.520000000000001
2009-01-23,33.08,51.980000000000004,0.11023628,0.9900000000000013
2009-01-24,35.96,42.08,0.14173236,0
2009-01-25,35.96,50,0.11023628,0
2009-01-26,30.02,50,0.019685050000000003,0
2009-01-27,17.96,37.04,0.09055123000000001,0
2009-01-28,8.959999999999997,28.04,0,0
2009-01-29,12.920000000000002,37.94,0,0
2009-01-30,15.98,37.94,0,0
2009-01-31,19.939999999999998,46.94,0,0
2009-02-01,19.939999999999998,50,0,0
2009-02-02,15.98,46.04,0,0
2009-02-03,19.939999999999998,46.94,0,0
2009-02-04,23,55.040000000000006,0,2.520000000000001
2009-02-05,26.96,59,0,4.5
2009-02-06,30.92,60.08,0,5.040000000000002
2009-02-07,26.96,55.040000000000006,0,2.520000000000001
2009-02-08,32,57.92,0,3.9599999999999986
2009-02-09,28.04,51.980000000000004,0.22047256,0.9900000000000013
2009-02-10,23,39.92,0.44094512,0
2009-02-11,8.959999999999997,33.08,0.07086618,0
2009-02-12,12.02,39.019999999999996,0,0
2009-02-13,17.96,44.96,0,0
2009-02-14,26.060000000000002,39.019999999999996,0,0
2009-02-15,12.02,39.019999999999996,0,0
2009-02-16,17.96,44.06,0,0
2009-02-17,32,48.92,0,0
2009-02-18,19.04,44.96,0,0
2009-02-19,15.98,42.08,0,0
2009-02-20,15.98,42.980000000000004,0,0
2009-02-21,19.04,48.019999999999996,0,0
2009-02-22,23,57.019999999999996,0,3.509999999999999
2009-02-23,30.92,59,0,4.5
2009-02-24,35.06,59,0.03149608,4.5
2009-02-25,30.92,60.980000000000004,0,5.490000000000001
2009-02-26,30.02,62.96,0,6.4799999999999995
2009-02-27,26.060000000000002,57.92,0,3.9599999999999986
2009-02-28,17.96,51.980000000000004,0,0.9900000000000013
2009-03-01,24.98,55.94,0,2.9700000000000006
2009-03-02,30.02,62.96,0,6.4799999999999995
2009-03-03,37.94,71.06,0,10.53
2009-03-04,33.98,64.03999999999999,0,7.0200000000000005
2009-03-05,37.94,66.02,0,8.01
2009-03-06,37.94,57.92,0,3.9599999999999986
2009-03-07,30.92,51.980000000000004,0,0.9900000000000013
2009-03-08,19.04,42.08,0,0
2009-03-09,19.939999999999998,55.040000000000006,0,2.520000000000001
2009-03-10,26.96,53.96,0.05905515000000001,1.9799999999999993
2009-03-11,17.96,44.96,0,0
2009-03-12,21.92,59,0,4.5
2009-03-13,28.04,59,0,4.5
2009-03-14,28.04,57.019999999999996,0,3.509999999999999
2009-03-15,21.92,57.019999999999996,0,3.509999999999999
2009-03-16,24.08,57.019999999999996,0,3.509999999999999
2009-03-17,26.96,62.96,0,6.4799999999999995
2009-03-18,30.02,68,0,9
2009-03-19,30.92,69.98,0,9.990000000000002
2009-03-20,33.98,71.06,0,10.53
2009-03-21,35.06,71.96000000000001,0,10.980000000000002
2009-03-22,37.94,69.98,0,9.990000000000002
2009-03-23,28.94,66.92,0.039370100000000005,8.459999999999999
2009-03-24,24.08,48.019999999999996,0,0
2009-03-25,23,51.08,0,0.5400000000000013
2009-03-26,26.96,51.08,0,0.5400000000000013
2009-03-27,17.96,42.980000000000004,0.03149608,0
2009-03-28,19.939999999999998,44.96,0,0
2009-03-29,24.08,57.92,0,3.9599999999999986
2009-03-30,15.98,60.980000000000004,0.039370100000000005,5.490000000000001
2009-03-31,17.06,39.019999999999996,0,0
2009-04-01,21.02,46.94,0,0
2009-04-02,15.98,44.96,0,0
2009-04-03,21.92,55.94,0,2.9700000000000006
2009-04-04,28.04,60.08,0.27952771000000004,5.040000000000002
2009-04-05,19.04,37.04,0,0
2009-04-06,19.04,46.94,0,0
2009-04-07,26.060000000000002,60.980000000000004,0,5.490000000000001
2009-04-08,30.02,66.92,0,8.459999999999999
2009-04-09,30.02,66.02,0,8.01
2009-04-10,30.92,59,0,4.5
2009-04-11,35.06,64.03999999999999,0.31102379,7.0200000000000005
2009-04-12,33.08,46.94,0.44094512,0
2009-04-13,33.08,53.06,0,1.5299999999999994
2009-04-14,32,64.03999999999999,0,7.0200000000000005
2009-04-15,46.04,66.02,0,8.01
2009-04-16,24.08,60.08,0.01181103,5.040000000000002
2009-04-17,28.94,44.96,0,0
2009-04-18,33.98,55.040000000000006,0,2.520000000000001
2009-04-19,32,60.980000000000004,0,5.490000000000001
2009-04-20,30.92,69.98,0,9.990000000000002
2009-04-21,33.08,73.03999999999999,0,11.519999999999998
2009-04-22,35.96,77,0,13.5
2009-04-23,39.92,78.08000000000001,0,14.040000000000001
2009-04-24,42.980000000000004,75.92,0,12.959999999999999
2009-04-25,44.96,73.94,0,11.969999999999997
2009-04-26,28.04,68,0,9
2009-04-27,28.94,57.92,0,3.9599999999999986
2009-04-28,37.94,64.03999999999999,0,7.0200000000000005
2009-04-29,35.06,69.98,0,9.990000000000002
2009-04-30,32,71.96000000000001,0,10.980000000000002
2009-05-01,37.94,73.94,0,11.969999999999997
2009-05-02,46.04,75.92,0.11811030000000002,12.959999999999999
2009-05-03,39.019999999999996,59,0.22834658000000002,4.5
2009-05-04,42.08,69.08000000000001,0,9.540000000000001
2009-05-05,42.08,69.98,0,9.990000000000002
2009-05-06,41,75.02,0,12.51
2009-05-07,41,80.96000000000001,0,15.480000000000002
2009-05-08,37.94,82.03999999999999,0,16.02
2009-05-09,37.04,78.08000000000001,0,14.040000000000001
2009-05-10,44.96,78.98,0,14.490000000000002
2009-05-11,44.96,80.06,0,15.030000000000003
2009-05-12,44.96,82.03999999999999,0,16.02
2009-05-13,43.97,80.51,0,15.255000000000003
2009-05-14,42.980000000000004,78.98,0,14.490000000000002
2009-05-15,42.980000000000004,78.98,0,14.490000000000002
2009-05-16,42.08,80.96000000000001,0,15.480000000000002
2009-05-17,44.06,80.96000000000001,0,15.480000000000002
2009-05-18,44.96,84.02,0,17.009999999999998
2009-05-19,57.92,87.98,0,21.96
2009-05-20,48.019999999999996,82.03999999999999,0.01181103,16.02
2009-05-21,51.980000000000004,82.94,0,17.46
2009-05-22,51.08,75.02,0.16929143000000002,13.05
2009-05-23,53.06,68,0.14960638,10.53
2009-05-24,50,68,0.25984266,9
2009-05-25,44.96,73.03999999999999,0,11.519999999999998
2009-05-26,39.92,71.06,0,10.53
2009-05-27,41,73.94,0,11.969999999999997
2009-05-28,42.980000000000004,75.02,0,12.51
2009-05-29,48.019999999999996,75.02,0,12.51
2009-05-30,44.06,78.98,0,14.490000000000002
2009-05-31,44.96,77,0,13.5
2009-06-01,42.980000000000004,77,0,13.5
2009-06-02,48.92,80.06,0,15.030000000000003
2009-06-03,48.019999999999996,80.06,0,15.030000000000003
2009-06-04,44.96,80.96000000000001,0.019685050000000003,15.480000000000002
2009-06-05,55.040000000000006,84.02,0,19.530000000000005
2009-06-06,53.96,78.98,0,16.47
2009-06-07,39.019999999999996,73.94,0,11.969999999999997
2009-06-08,41,71.96000000000001,0,10.980000000000002
2009-06-09,53.96,73.94,0,13.950000000000001
2009-06-10,50,73.03999999999999,0.039370100000000005,11.519999999999998
2009-06-11,50,66.92,0.14960638,8.459999999999999
2009-06-12,42.980000000000004,75.92,0,12.959999999999999
2009-06-13,44.96,78.98,0,14.490000000000002
2009-06-14,44.06,75.02,0.18110246000000002,12.51
2009-06-15,48.92,78.08000000000001,0,14.040000000000001
2009-06-16,46.94,77,0,13.5
2009-06-17,50,75.92,0,12.959999999999999
2009-06-18,44.06,78.08000000000001,0,14.040000000000001
2009-06-19,42.08,78.98,0,14.490000000000002
2009-06-20,50,82.03999999999999,0,16.02
2009-06-21,51.08,73.94,0,12.51
2009-06-22,46.04,82.94,0,16.47
2009-06-23,48.92,86,0,18
2009-06-24,62.06,91.03999999999999,0,24.030000000000005
2009-06-25,60.980000000000004,87.98,0,23.490000000000002
2009-06-26,59,86,0.12992133,22.5
2009-06-27,48.019999999999996,78.98,0.01181103,14.490000000000002
2009-06-28,51.08,84.92,0,18
2009-06-29,55.040000000000006,89.06,0,20.52
2009-06-30,51.08,89.06,0,18.540000000000003
2009-07-01,62.06,93.02,0,24.030000000000005
2009-07-02,60.980000000000004,91.03999999999999,0,23.490000000000002
2009-07-03,55.94,89.06,0.039370100000000005,20.97
2009-07-04,57.019999999999996,87.98,0,21.509999999999998
2009-07-05,55.040000000000006,89.06,0,20.52
2009-07-06,53.06,89.06,0,19.530000000000005
2009-07-07,48.92,89.96000000000001,0,18
2009-07-08,51.980000000000004,89.96000000000001,0,18.990000000000002
2009-07-09,51.980000000000004,91.03999999999999,0,18.990000000000002
2009-07-10,55.94,89.96000000000001,0,20.97
2009-07-11,57.92,93.02,0,21.96
2009-07-12,60.980000000000004,93.02,0,23.490000000000002
2009-07-13,59,95,0.019685050000000003,22.5
2009-07-14,55.040000000000006,91.03999999999999,0,20.52
2009-07-15,55.040000000000006,93.02,0,20.52
2009-07-16,55.040000000000006,93.92,0,20.52
2009-07-17,53.96,96.08,0,19.980000000000004
2009-07-18,57.92,96.98,0,21.96
2009-07-19,57.92,98.06,0,21.96
2009-07-20,62.06,96.08,0,24.030000000000005
2009-07-21,59,95,0,22.5
2009-07-22,53.96,89.96000000000001,0,19.980000000000004
2009-07-23,57.92,91.03999999999999,0,21.96
2009-07-24,59,95,0,22.5
2009-07-25,62.96,96.08,0,24.480000000000004
2009-07-26,60.980000000000004,93.92,0.07086618,23.490000000000002
2009-07-27,51.980000000000004,89.96000000000001,0,18.990000000000002
2009-07-28,55.94,93.02,0,20.97
2009-07-29,55.040000000000006,93.92,0.039370100000000005,20.52
2009-07-30,51.980000000000004,87.08000000000001,0.03149608,18.990000000000002
2009-07-31,55.040000000000006,87.08000000000001,0.22047256,20.52
2009-08-01,51.08,87.08000000000001,0,18.540000000000003
2009-08-02,53.06,91.03999999999999,0,19.530000000000005
2009-08-03,55.94,93.92,0,20.97
2009-08-04,55.94,93.02,0,20.97
2009-08-05,57.019999999999996,95,0,21.509999999999998
2009-08-06,66.92,96.08,0,26.46
2009-08-07,55.040000000000006,89.06,0,20.52
2009-08-08,44.96,86,0,18
2009-08-09,42.08,82.03999999999999,0,16.02
2009-08-10,46.04,84.92,0,17.46
2009-08-11,48.019999999999996,89.06,0,18
2009-08-12,51.08,91.03999999999999,0,18.540000000000003
2009-08-13,62.06,93.92,0,24.030000000000005
2009-08-14,57.019999999999996,89.06,0.14173236,21.509999999999998
2009-08-15,53.06,82.94,0,18
2009-08-16,44.06,84.92,0,17.46
2009-08-17,44.96,84.92,0,17.46
2009-08-18,46.94,86,0,18
2009-08-19,46.04,87.08000000000001,0,18
2009-08-20,50,87.98,0,18
