Season,Garden,Condition,Ear weight,Cob weight,Kernel weight,Rows,Clump,Variety
2009,CDG,Immature,1.7,1.7,0.0,NA,3,Hopi Blue
2009,CDG,Partial,29.8,7.0,22.8,14,3,Hopi Blue
2009,CDG,Partial,13.8,4.9,8.9,12,3,Hopi Blue
2009,CDG,Immature,0.9,0.9,0.0,NA,8,Hopi Blue
2009,CDG,Sparse,7.5,4.0,3.5,8,8,Hopi Blue
2009,CDG,Full,84.7,26.9,57.800000000000004,12,9,Hopi Blue
2009,CDG,Full,53.0,7.8,45.2,10,9,Hopi Blue
2009,CDG,Immature,0.7,0.7,0.0,NA,9,Hopi Blue
2009,CDG,Immature,0.9,0.9,0.0,NA,9,Hopi Blue
2009,CDG,Full,98.6,24.4,74.19999999999999,12,10,Hopi Blue
2009,CDG,Immature,1.4,1.4,0.0,NA,10,Hopi Blue
2009,CDG,Sparse,13.9,9.7,4.200000000000001,12,10,Hopi Blue
2009,CDG,Sparse,4.4,2.9,1.5000000000000004,10,10,Hopi Blue
2009,CDG,Partial,66.9,19.9,47.00000000000001,12,13,Hopi Blue
2009,CDG,Sparse,4.6,3.2,1.3999999999999995,8,13,Hopi Blue
2009,CDG,Sparse,4.3,4.1,0.20000000000000018,10,13,Hopi Blue
2009,CDG,Partial,64.8,17.0,47.8,12,14,Hopi Blue
2009,CDG,Immature,1.5,1.5,0.0,NA,15,Hopi Blue
2009,CDG,Immature,0.1,0.1,0.0,NA,15,Hopi Blue
2009,CDG,Sparse,4.0,3.9,0.10000000000000009,12,16,Hopi Blue
2009,CDG,Sparse,3.2,3.1,0.10000000000000009,10,16,Hopi Blue
2009,CDG,Full,118.2,23.3,94.9,14,17,Hopi Blue
2009,CDG,Partial,26.1,7.2,18.900000000000002,10,17,Hopi Blue
2009,CDG,Partial,34.8,13.6,21.199999999999996,13,17,Hopi Blue
2009,CDG,Partial,33.9,9.5,24.4,12,17,Hopi Blue
2009,CDG,Sparse,14.2,5.8,8.399999999999999,10,17,Hopi Blue
2009,CDG,Immature,1.4,1.4,0.0,NA,18,Hopi Blue
2009,CDG,Immature,0.4,0.4,0.0,NA,18,Hopi Blue
2009,CDG,Full,86.8,30.4,56.4,12,19,Hopi Blue
2009,CDG,Full,93.9,23.0,70.9,14,19,Hopi Blue
2009,CDG,Full,91.7,20.0,71.7,12,19,Hopi Blue
