Season,Garden,Ear yield,Cob yield,Kernel yield,Spacing,Area,Variety
2009,CDG,270.45,84.16,186.29,1.6,100,Hopi Blue
2009,KUG,0.44,0.413333333333333,0.0266666666666667,1.7,225,Hopi Sweet
2009,PHG,0.6875,0.65625,0.03125,1.25,64,Hopi White
2009,PLC,1.30833333333333,1.25,0.0583333333333334,1.8,120,Kokoma
2009,POG,472.073529411765,153.871407851622,318.202121560143,1.5,68,Greasy-head
2010,CDG,2671.48529411765,573.10294117647,2098.38235294118,1.4,68,Hopi White
2010,KUG,324.511111111111,69.7466666666667,254.764444444444,1.6,225,Hopi Blue
2010,PHG,469.387755102041,81.265306122449,388.122448979592,1.4,49,Hopi White
2010,PLC,706.839506172839,151.123456790123,555.716049382716,1.2,81,Greasy-head & Hopi Blue
2010,POG,842.058823529412,206.911764705882,635.147058823529,1.5,68,Greasy-head
2011,CDG,241.941520467836,71.859649122807,170.081871345029,1.75,85.5,Hopi White
2011,KUG,38.7740384615385,13.3365384615385,25.4375,2,208,Hopi Blue
2011,PLC,5.10989010989011,2.73626373626374,2.37362637362637,1.5,91,Hopi Blue
2011,POG,589.794117647059,202.852941176471,386.941176470588,1.5,68,Hopi White
2012,KUG,4.81818181818182,2.12396694214876,2.69421487603306,1.85,121,Hopi Blue
2013,CDG,475.3875,142.075,333.3125,1.75,80,Hopi White
2013,KUG,56.9583333333333,21.25,35.7083333333333,2,120,Hopi Blue
2013,PHG,0.46875,0.46875,0,1.75,64,Hopi Blue
2013,PLC,34.6388888888889,23.9166666666667,10.7222222222222,1.75,72,Hopi Blue
2013,POG,13.5588235294118,11.7205882352941,1.83823529411765,1.75,68,Hopi White
2014,CDG,61.9375,22.6375,39.3,1.75,80,Hopi White
2014,KUG,3.45833333333333,1.85833333333333,1.6,2,120,Hopi Blue
2014,POG,NA,NA,NA,1.5,NA,Hopi White
2015,CDG,516.6375,99.25625,417.38125,1.75,160,Hopi White
2015,KUG,256.064285714286,57.9428571428571,198.121428571429,2.25,140,Hopi Blue
2015,MCG,2430.27777777778,576.0951287457,1854.18264903208,2.75,144,Hopi Blue
2015,PLC,495.311111111111,88.3666666666667,406.944444444444,1.5,90,Hopi Blue
2015,POG,1320.54545454545,340.545454545455,980,1.75,55,Hopi White
